loan_id,friction_psi,resonance_m,status
L000001,0.7954545454545454,2.4373485714285716,STABLE
L000002,1.5783475783475784,1.228373285198556,STABLE
L000003,1.2474964234620887,1.554152752293578,STABLE
L000004,1.0920436817472698,1.775386857142857,STABLE
L000005,1.1993299832495812,1.6165692737430168,STABLE
L000006,2.2802547770700636,0.8502558659217877,STABLE
L000007,0.6328502415458938,3.0636,STABLE
L000008,0.3295880149812734,5.882495454545454,STABLE
L000009,0.5219941348973607,3.7142179775280897,STABLE
L000010,1.378413524057217,1.4065445283018867,STABLE
L000011,0.15135135135135136,12.809928571428571,STABLE
L000012,1.0338461538461539,1.875327380952381,STABLE
L000013,2.580829756795422,0.7512312638580931,CRITICAL_FRICTION
L000014,0.7124824684431977,2.7211897637795275,STABLE
L000015,2.0060790273556233,0.9664624242424242,STABLE
L000016,1.4970059880239521,1.2951184,STABLE
L000017,2.6019417475728157,0.7451358208955224,CRITICAL_FRICTION
L000018,1.5754189944134078,1.2306567375886526,STABLE
L000019,1.1332470892626132,1.7108360730593608,STABLE
L000020,0.8822553897180763,2.19754962406015,STABLE
L000021,1.357910906298003,1.427781447963801,STABLE
L000022,1.2365930599369086,1.5678561224489795,STABLE
L000023,0.7735368956743003,2.5064092105263156,STABLE
L000024,0.6816143497757847,2.8444236842105264,STABLE
L000025,0.883054892601432,2.19556,STABLE
L000026,0.4383561643835616,4.4228875,STABLE
L000027,0.6990801576872536,2.773358646616541,STABLE
L000028,1.1794871794871795,1.6437652173913044,STABLE
L000029,2.4055944055944054,0.8059546511627907,CRITICAL_FRICTION
L000030,1.5979513444302176,1.2133035256410256,STABLE
L000031,0.689051094890511,2.8137245762711864,STABLE
L000032,1.6011477761836441,1.2108813620071686,STABLE
L000033,0.4489208633093525,4.318801282051282,STABLE
L000034,1.1274787535410764,1.7195889447236181,STABLE
L000035,1.735483870967742,1.1171524163568773,STABLE
L000036,0.9555189456342669,2.0290544827586205,STABLE
L000037,1.1026392961876832,1.7583265957446808,STABLE
L000038,0.6337817638266069,3.059097169811321,STABLE
L000039,0.6855600539811066,2.828052755905512,STABLE
L000040,0.2912332838038633,6.657206122448979,STABLE
L000041,0.9296148738379814,2.085594857142857,STABLE
L000042,2.1670886075949367,0.8946565420560748,STABLE
L000043,0.7009735744089013,2.7658674603174602,STABLE
L000044,0.6050955414012739,3.204122105263158,STABLE
L000045,1.1478770131771596,1.6890311224489796,STABLE
L000046,0.5082872928176796,3.814378260869565,STABLE
L000047,3.2386363636363638,0.5986470175438596,CRITICAL_FRICTION
L000048,0.673939393939394,2.87681654676259,STABLE
L000049,0.9629629629629629,2.013369230769231,STABLE
L000050,0.6544428772919605,2.962519827586207,STABLE
L000051,0.832579185520362,2.328667391304348,STABLE
L000052,1.5732946298984034,1.232318450184502,STABLE
L000053,1.1497975708502024,1.6862098591549295,STABLE
L000054,0.94148244473342,2.0593055248618786,STABLE
L000055,1.384180790960452,1.4006840816326531,STABLE
L000056,1.5042735042735043,1.2888613636363637,STABLE
L000057,1.292225201072386,1.5003576763485478,STABLE
L000058,1.054172767203514,1.8391672222222222,STABLE
L000059,1.0981507823613086,1.7655134715025906,STABLE
L000060,1.471004243281471,1.3180111538461539,STABLE
L000061,0.9303703703703704,2.0839012738853504,STABLE
L000062,0.14323607427055704,13.535696296296296,STABLE
L000063,0.821917808219178,2.3588733333333334,STABLE
L000064,0.5793103448275863,3.3467380952380954,STABLE
L000065,1.3438985736925515,1.442668396226415,STABLE
L000066,0.600265604249668,3.2299035398230087,STABLE
L000067,1.639751552795031,1.1823742424242425,STABLE
L000068,1.5529411764705883,1.248469696969697,STABLE
L000069,0.725111441307578,2.673795901639344,STABLE
L000070,0.2444113263785395,7.932529268292683,STABLE
L000071,0.9368421052631579,2.069505617977528,STABLE
L000072,0.810126582278481,2.39320625,STABLE
L000073,0.4277456647398844,4.5326,STABLE
L000074,1.6352201257861636,1.1856507692307692,STABLE
